words,frequency,Sentiment,Category
save,6,Neutral,HEALTH_AND_FITNESS
broke,6,Neutral,HEALTH_AND_FITNESS
restarting,6,Neutral,HEALTH_AND_FITNESS
charged,6,Neutral,HEALTH_AND_FITNESS
use,6,Neutral,HEALTH_AND_FITNESS
account,6,Neutral,HEALTH_AND_FITNESS
thank,6,Neutral,HEALTH_AND_FITNESS
started,6,Neutral,HEALTH_AND_FITNESS
even,6,Neutral,HEALTH_AND_FITNESS
pounds,6,Neutral,HEALTH_AND_FITNESS
since,6,Neutral,HEALTH_AND_FITNESS
last,6,Neutral,HEALTH_AND_FITNESS
login,6,Neutral,HEALTH_AND_FITNESS
option,6,Neutral,HEALTH_AND_FITNESS
track,6,Neutral,HEALTH_AND_FITNESS
health,5,Neutral,HEALTH_AND_FITNESS
update,5,Neutral,HEALTH_AND_FITNESS
workouts,5,Neutral,HEALTH_AND_FITNESS
google,5,Neutral,HEALTH_AND_FITNESS
play,5,Neutral,HEALTH_AND_FITNESS
cost,5,Neutral,HEALTH_AND_FITNESS
email,5,Neutral,HEALTH_AND_FITNESS
simple,5,Neutral,HEALTH_AND_FITNESS
using,5,Neutral,HEALTH_AND_FITNESS
back,5,Neutral,HEALTH_AND_FITNESS
connected,5,Neutral,HEALTH_AND_FITNESS
cannot,5,Neutral,HEALTH_AND_FITNESS
uninstalling,5,Neutral,HEALTH_AND_FITNESS
luck,5,Neutral,HEALTH_AND_FITNESS
night,5,Neutral,HEALTH_AND_FITNESS
adding,5,Neutral,HEALTH_AND_FITNESS
logged,5,Neutral,HEALTH_AND_FITNESS
properly,5,Neutral,HEALTH_AND_FITNESS
resolution,5,Neutral,HEALTH_AND_FITNESS
build,5,Neutral,HEALTH_AND_FITNESS
muscle,5,Neutral,HEALTH_AND_FITNESS
slim,5,Neutral,HEALTH_AND_FITNESS
could,5,Neutral,HEALTH_AND_FITNESS
foods,4,Neutral,HEALTH_AND_FITNESS
access,4,Neutral,HEALTH_AND_FITNESS
matter,4,Neutral,HEALTH_AND_FITNESS
diet,4,Neutral,HEALTH_AND_FITNESS
wont,4,Neutral,HEALTH_AND_FITNESS
change,4,Neutral,HEALTH_AND_FITNESS
date,4,Neutral,HEALTH_AND_FITNESS
subscription,4,Neutral,HEALTH_AND_FITNESS
love,4,Neutral,HEALTH_AND_FITNESS
pass,4,Neutral,HEALTH_AND_FITNESS
says,4,Neutral,HEALTH_AND_FITNESS
another,4,Neutral,HEALTH_AND_FITNESS
works,4,Neutral,HEALTH_AND_FITNESS
tracking,4,Neutral,HEALTH_AND_FITNESS
sleep,4,Neutral,HEALTH_AND_FITNESS
application,4,Neutral,HEALTH_AND_FITNESS
crash,4,Neutral,HEALTH_AND_FITNESS
life,4,Neutral,HEALTH_AND_FITNESS
im,4,Neutral,HEALTH_AND_FITNESS
loss,4,Neutral,HEALTH_AND_FITNESS
goals,4,Neutral,HEALTH_AND_FITNESS
message,4,Neutral,HEALTH_AND_FITNESS
control,4,Neutral,HEALTH_AND_FITNESS
helped,4,Neutral,HEALTH_AND_FITNESS
data,4,Neutral,HEALTH_AND_FITNESS
weeks,4,Neutral,HEALTH_AND_FITNESS
nutrition,4,Neutral,HEALTH_AND_FITNESS
info,4,Neutral,HEALTH_AND_FITNESS
needed,4,Neutral,HEALTH_AND_FITNESS
uninstalled,4,Neutral,HEALTH_AND_FITNESS
permissions,4,Neutral,HEALTH_AND_FITNESS
see,4,Neutral,HEALTH_AND_FITNESS
found,3,Neutral,HEALTH_AND_FITNESS
lot,3,Neutral,HEALTH_AND_FITNESS
luv,3,Neutral,HEALTH_AND_FITNESS
seems,3,Neutral,HEALTH_AND_FITNESS
also,3,Neutral,HEALTH_AND_FITNESS
hrs,3,Neutral,HEALTH_AND_FITNESS
doesnt,3,Neutral,HEALTH_AND_FITNESS
meal,3,Neutral,HEALTH_AND_FITNESS
another,7,Neutral,SHOPPING
fora,3,Neutral,HEALTH_AND_FITNESS
buggy,3,Neutral,HEALTH_AND_FITNESS
frustration,3,Neutral,HEALTH_AND_FITNESS
statistics,3,Neutral,HEALTH_AND_FITNESS
unrealistic,3,Neutral,HEALTH_AND_FITNESS
400+,3,Neutral,HEALTH_AND_FITNESS
minute,3,Neutral,HEALTH_AND_FITNESS
4th,3,Neutral,HEALTH_AND_FITNESS
section,3,Neutral,HEALTH_AND_FITNESS
something,3,Neutral,HEALTH_AND_FITNESS
needs,3,Neutral,HEALTH_AND_FITNESS
voice,3,Neutral,HEALTH_AND_FITNESS
take,3,Neutral,HEALTH_AND_FITNESS
going,3,Neutral,HEALTH_AND_FITNESS
training,3,Neutral,HEALTH_AND_FITNESS
lost,3,Neutral,HEALTH_AND_FITNESS
star,3,Neutral,HEALTH_AND_FITNESS
tracker,3,Neutral,HEALTH_AND_FITNESS
continuously,3,Neutral,HEALTH_AND_FITNESS
crashes,3,Neutral,HEALTH_AND_FITNESS
dont,3,Neutral,HEALTH_AND_FITNESS
ago,3,Neutral,HEALTH_AND_FITNESS
issues,3,Neutral,HEALTH_AND_FITNESS
may,3,Neutral,HEALTH_AND_FITNESS
diabetes,3,Neutral,HEALTH_AND_FITNESS
anything,3,Neutral,HEALTH_AND_FITNESS
cant,3,Neutral,HEALTH_AND_FITNESS
sync,3,Neutral,HEALTH_AND_FITNESS
let's,3,Neutral,HEALTH_AND_FITNESS
add,3,Neutral,HEALTH_AND_FITNESS
log,3,Neutral,HEALTH_AND_FITNESS
helps,3,Neutral,HEALTH_AND_FITNESS
stay,3,Neutral,HEALTH_AND_FITNESS
week,3,Neutral,HEALTH_AND_FITNESS
find,3,Neutral,HEALTH_AND_FITNESS
listed,3,Neutral,HEALTH_AND_FITNESS
love,161,Positive,SHOPPING
great,155,Positive,SHOPPING
good,106,Positive,SHOPPING
time,91,Positive,SHOPPING
like,84,Positive,SHOPPING
easy,79,Positive,SHOPPING
items,59,Positive,SHOPPING
used,56,Positive,SHOPPING
cards,50,Positive,SHOPPING
card,49,Positive,SHOPPING
deals,46,Positive,SHOPPING
would,44,Positive,SHOPPING
update,43,Positive,SHOPPING
buy,43,Positive,SHOPPING
much,42,Positive,SHOPPING
things,40,Positive,SHOPPING
back,40,Positive,SHOPPING
even,39,Positive,SHOPPING
shopping,39,Positive,SHOPPING
customer,39,Positive,SHOPPING
try,37,Positive,SHOPPING
find,37,Positive,SHOPPING
need,37,Positive,SHOPPING
cash,36,Positive,SHOPPING
gift,36,Positive,SHOPPING
new,35,Positive,SHOPPING
also,35,Positive,SHOPPING
work,35,Positive,SHOPPING
first,33,Positive,SHOPPING
order,33,Positive,SHOPPING
products,32,Positive,SHOPPING
can't,31,Positive,SHOPPING
money,31,Positive,SHOPPING
nice,30,Positive,SHOPPING
every,30,Positive,SHOPPING
using,30,Positive,SHOPPING
prices,29,Positive,SHOPPING
well,29,Positive,SHOPPING
got,28,Positive,SHOPPING
better,28,Positive,SHOPPING
able,27,Positive,SHOPPING
keep,27,Positive,SHOPPING
purchase,26,Positive,SHOPPING
stores,25,Positive,SHOPPING
place,25,Positive,SHOPPING
fix,24,Positive,SHOPPING
never,24,Positive,SHOPPING
price,24,Positive,SHOPPING
groupon,24,Positive,SHOPPING
sometimes,23,Positive,SHOPPING
balance,23,Positive,SHOPPING
list,23,Positive,SHOPPING
use,23,Positive,SHOPPING
longer,23,Positive,SHOPPING
tried,23,Positive,SHOPPING
want,22,Positive,SHOPPING
problem,22,Positive,SHOPPING
add,22,Positive,SHOPPING
always,22,Positive,SHOPPING
give,22,Positive,SHOPPING
offers,22,Positive,SHOPPING
best,21,Positive,SHOPPING
product,21,Positive,SHOPPING
amazon,21,Positive,SHOPPING
already,21,Positive,SHOPPING
people,21,Positive,SHOPPING
balances,21,Positive,SHOPPING
shop,20,Positive,SHOPPING
family,20,Positive,SHOPPING
delivery,20,Positive,SHOPPING
cool,19,Positive,SHOPPING
pay,19,Positive,SHOPPING
many,19,Positive,SHOPPING
amazing,19,Positive,SHOPPING
go,19,Positive,SHOPPING
store,19,Positive,SHOPPING
message,19,Positive,SHOPPING
phone,18,Positive,SHOPPING
happy,18,Positive,SHOPPING
anymore,17,Positive,SHOPPING
yet,17,Positive,SHOPPING
account,17,Positive,SHOPPING
save,17,Positive,SHOPPING
support,17,Positive,SHOPPING
english,16,Positive,SHOPPING
search,16,Positive,SHOPPING
shipping,16,Positive,SHOPPING
user,16,Positive,SHOPPING
wish,16,Positive,SHOPPING
ever,16,Positive,SHOPPING
fast,16,Positive,SHOPPING
think,16,Positive,SHOPPING
show,16,Positive,SHOPPING
lot,16,Positive,SHOPPING
thank,16,Positive,SHOPPING
change,16,Positive,SHOPPING
said,16,Positive,SHOPPING
check,16,Positive,SHOPPING
etsy,16,Positive,SHOPPING
right,15,Positive,SHOPPING
different,15,Positive,SHOPPING
another,7,Negative,DATING
without,15,Positive,SHOPPING
available,15,Positive,SHOPPING
item,15,Positive,SHOPPING
buying,15,Positive,SHOPPING
years,15,Positive,SHOPPING
another,17,Positive,TRAVEL_AND_LOCAL
found,15,Positive,SHOPPING
online,14,Positive,SHOPPING
stuff,14,Positive,SHOPPING
everything,14,Positive,SHOPPING
free,14,Positive,SHOPPING
email,14,Positive,SHOPPING
see,14,Positive,SHOPPING
works,14,Positive,SHOPPING
usually,13,Positive,SHOPPING
error,13,Positive,SHOPPING
far,13,Positive,SHOPPING
star,13,Positive,SHOPPING
thing,13,Positive,SHOPPING
one,13,Positive,SHOPPING
another,9,Negative,TRAVEL_AND_LOCAL
since,13,Positive,SHOPPING
customers,13,Positive,SHOPPING
something,13,Positive,SHOPPING
times,13,Positive,SHOPPING
days,13,Positive,SHOPPING
purchased,13,Positive,SHOPPING
worth,13,Positive,SHOPPING
long,13,Positive,SHOPPING
keeps,13,Positive,SHOPPING
know,13,Positive,SHOPPING
awesome,13,Positive,SHOPPING
end,13,Positive,SHOPPING
currently,13,Positive,SHOPPING
help,13,Positive,SHOPPING
last,13,Positive,SHOPPING
little,13,Positive,SHOPPING
manually,13,Positive,SHOPPING
service,12,Positive,SHOPPING
call,12,Positive,SHOPPING
super,12,Positive,SHOPPING
bad,12,Positive,SHOPPING
wallet,12,Positive,SHOPPING
wants,12,Positive,SHOPPING
experience,12,Positive,SHOPPING
live,12,Positive,SHOPPING
made,12,Positive,SHOPPING
says,12,Positive,SHOPPING
receipt,12,Positive,SHOPPING
another,5,Neutral,TRAVEL_AND_LOCAL
chat,12,Positive,SHOPPING
"""gyft",12,Positive,SHOPPING
coupons,11,Positive,SHOPPING
asos,11,Positive,SHOPPING
card,71,Negative,SHOPPING
gift,48,Negative,SHOPPING
time,29,Negative,SHOPPING
even,29,Negative,SHOPPING
never,26,Negative,SHOPPING
amazon,25,Negative,SHOPPING
money,24,Negative,SHOPPING
balance,24,Negative,SHOPPING
customer,22,Negative,SHOPPING
store,22,Negative,SHOPPING
